scan, ratio_s, s_max, fro, s_min
"[1, 2]", -, -, -, -
"[1, 2, 3]", 6.7e+02, 2.6e+01, 2.7e+01, 3.9e-02
"[1, 2, 3, 4]", -, -, -, -
"[1, 2, 3, 4, 5]", -, -, -, -
"[1, 3]", -, -, -, -
"[1, 3, 5]", 1.5e+02, 1.2e+01, 1.3e+01, 8.1e-02
"[1, 2, 5]", 6.9e+01, 8.3e+00, 9.5e+00, 1.2e-01
"[1, 2, 3, 5]", -, -, -, -
"[1, 2, 3, 7]", -, -, -, -
"[1, 2, 9]", 2.2e+01, 4.6e+00, 5.9e+00, 2.2e-01
"[1, 3, 9, 11]", -, -, -, -
