scan, NM, BFGS, CG, SLSQP, errNM, errBFGS, errCG, errSLSQP
"[1, 2]", "37.34, 145.08, 200.62", "39.08, 145.73, 195.76", "39.08, 145.73, 195.76", "39.08, 145.73, 195.76", 5.5e-09, 2.6e-10, 2.7e-11, 7.0e-07
"[1, 2, 3]", "54.09, 151.32, 153.71", "54.09, 151.32, 153.71", "54.09, 151.32, 153.71", "29.87, 148.26, 192.23", 2.6e-08, 8.5e-11, 1.2e-09, 1.2e-02
"[1, 2, 3, 4]", "61.58, 153.57, 136.3", "61.58, 153.57, 136.3", "61.29, 153.52, 136.77", "28.29, 147.54, 190.53", 4.0e-03, 4.0e-03, 4.0e-03, 2.0e-02
"[1, 2, 3, 4, 5]", "56.35, 152.32, 146.23", "56.35, 152.32, 146.23", "56.18, 152.31, 146.43", "27.06, 146.73, 188.18", 5.2e-03, 5.2e-03, 5.2e-03, 2.7e-02
"[1, 3]", "35.66, 147.67, 183.96", "30.72, 146.69, 192.06", "30.74, 145.7, 191.96", "30.72, 146.69, 192.06", 2.2e-09, 7.5e-11, 5.0e-03, 1.0e-06
"[1, 3, 5]", "58.7, 152.23, 146.13", "58.7, 152.23, 146.13", "58.7, 152.23, 146.13", "28.36, 145.23, 188.1", 2.9e-08, 2.4e-11, 5.2e-11, 2.5e-02
"[1, 2, 5]", "56.1, 152.07, 148.06", "56.1, 152.07, 148.06", "56.1, 152.07, 148.06", "28.84, 146.19, 189.06", 4.4e-08, 3.5e-11, 3.9e-11, 3.2e-02
"[1, 2, 3, 5]", "56.76, 152.08, 147.82", "56.76, 152.08, 147.82", "56.73, 152.07, 147.85", "28.07, 147.06, 189.07", 1.2e-03, 1.2e-03, 1.2e-03, 2.8e-02
"[1, 2, 3, 7]", "66.06, 154.62, 127.92", "66.07, 154.62, 127.91", "65.99, 154.63, 127.97", "66.03, 154.63, 127.93", 5.1e-03, 5.1e-03, 5.1e-03, 5.1e-03
"[1, 2, 9]", "66.95, 156.11, 117.68", "66.95, 156.11, 117.68", "66.95, 156.11, 117.68", "66.95, 156.11, 117.68", 5.7e-08, 3.5e-11, 3.1e-11, 3.6e-06
"[1, 3, 9, 11]", "73.84, 157.45, 116.89", "73.75, 157.46, 116.89", "73.74, 157.46, 116.9", "34.7, 161.68, 121.59", 7.7e-03, 7.7e-03, 7.7e-03, 3.5e-02
