scan, ratio_s, s_max, fro, s_min
"[1, 2]", 1.6e+01, 4.0e+00, 4.3e+00, 2.5e-01
"[1, 2, 3]", -, -, -, -
"[1, 2, 3, 4]", -, -, -, -
"[1, 2, 3, 4, 5]", -, -, -, -
"[1, 3]", 1.8e+01, 4.2e+00, 4.4e+00, 2.4e-01
"[1, 3, 5]", -, -, -, -
"[1, 2, 5]", -, -, -, -
"[1, 2, 3, 5]", -, -, -, -
"[1, 2, 3, 7]", -, -, -, -
"[1, 2, 9]", -, -, -, -
"[1, 3, 9, 11]", -, -, -, -
