scan, NM, BFGS, CG, SLSQP, errNM, errBFGS, errCG, errSLSQP
"[1, 2]", "37.34, 145.08, 200.62", "39.08, 145.73, 195.76", "39.08, 145.73, 195.76", "39.08, 145.73, 195.76", 5.5e-09, 2.6e-10, 2.7e-11, 7.0e-07
"[1, 2, 3]", "54.09, 151.32, 153.71", "54.09, 151.32, 153.71", "54.09, 151.32, 153.71", "29.87, 148.26, 192.23", 2.6e-08, 8.5e-11, 1.2e-09, 1.2e-02
"[1, 2, 3, 4]", "61.58, 153.57, 136.3", "61.58, 153.57, 136.3", "61.29, 153.52, 136.77", "28.29, 147.54, 190.53", 4.0e-03, 4.0e-03, 4.0e-03, 2.0e-02
"[1, 2, 3, 4, 5]", "56.35, 152.32, 146.23", "56.35, 152.32, 146.23", "56.18, 152.31, 146.43", "27.06, 146.73, 188.18", 5.2e-03, 5.2e-03, 5.2e-03, 2.7e-02
"[1, 3]", "35.66, 147.67, 183.96", "30.72, 146.69, 192.06", "30.74, 145.7, 191.96", "30.72, 146.69, 192.06", 2.2e-09, 7.5e-11, 5.0e-03, 1.0e-06
"[1, 3, 5]", "58.7, 152.23, 146.13", "58.7, 152.23, 146.13", "58.7, 152.23, 146.13", "28.36, 145.23, 188.1", 2.9e-08, 2.4e-11, 5.2e-11, 2.5e-02
"[1, 2, 5]", "56.1, 152.07, 148.06", "56.1, 152.07, 148.06", "56.1, 152.07, 148.06", "28.84, 146.19, 189.06", 4.4e-08, 3.5e-11, 3.9e-11, 3.2e-02
"[1, 2, 3, 5]", "56.76, 152.08, 147.82", "56.76, 152.08, 147.82", "56.73, 152.07, 147.85", "28.07, 147.06, 189.07", 1.2e-03, 1.2e-03, 1.2e-03, 2.8e-02
"[1, 2, 3, 7]", "66.06, 154.62, 127.92", "66.07, 154.62, 127.91", "65.99, 154.63, 127.97", "66.03, 154.63, 127.93", 5.1e-03, 5.1e-03, 5.1e-03, 5.1e-03
"[1, 2, 5, 7]", "65.77, 154.09, 131.56", "65.79, 154.09, 131.55", "65.54, 154.1, 131.69", "24.09, 158.07, 152.67", 1.3e-02, 1.3e-02, 1.3e-02, 3.8e-02
"[1, 2, 9]", "66.95, 156.11, 117.68", "66.95, 156.11, 117.68", "66.95, 156.11, 117.68", "66.95, 156.11, 117.68", 5.7e-08, 3.5e-11, 3.1e-11, 3.6e-06
"[1, 7, 11]", "28.18, 154.12, 143.44", "28.18, 154.12, 143.44", "28.18, 154.12, 143.44", "15.19, 153.63, 148.95", 7.6e-09, 3.7e-11, 1.4e-10, 1.7e-03
"[1, 9, 11]", "255.0, 150.81, 101.75", "28.31, 159.09, 120.73", "28.33, 159.08, 120.75", "28.31, 159.08, 120.72", 8.5e-03, 8.7e-03, 8.7e-03, 8.7e-03
"[1, 2, 7, 11]", "60.92, 155.38, 129.66", "60.91, 155.38, 129.66", "60.86, 155.38, 129.69", "24.8, 156.45, 147.25", 3.9e-03, 3.9e-03, 3.9e-03, 3.2e-02
"[1, 3, 5, 7]", "74.78, 154.39, 126.57", "74.78, 154.39, 126.58", "74.46, 154.4, 126.77", "21.73, 156.58, 156.48", 1.1e-02, 1.1e-02, 1.1e-02, 3.8e-02
"[1, 3, 7, 11]", "68.24, 155.65, 126.65", "68.24, 155.65, 126.65", "68.12, 155.64, 126.72", "21.61, 154.79, 152.72", 4.7e-03, 4.7e-03, 4.7e-03, 3.4e-02
"[1, 3, 9, 11]", "73.84, 157.45, 116.89", "73.75, 157.46, 116.89", "73.74, 157.46, 116.9", "34.7, 161.68, 121.59", 7.7e-03, 7.7e-03, 7.7e-03, 3.5e-02
"[2, 3]", "42.91, 158.63, 153.07", "35.77, 163.3, 152.67", "35.77, 163.3, 152.67", "26.59, 152.64, 191.17", 3.4e-09, 3.1e-10, 7.4e-11, 1.1e-02
"[2, 3, 4]", "0.0, 193.74, 133.11", "39.45, 168.0, 135.16", "39.24, 168.0, 135.44", "25.3, 150.49, 188.98", 4.8e-03, 4.9e-03, 4.9e-03, 2.4e-02
"[2, 3, 5]", "0.0, 188.15, 147.14", "35.35, 165.69, 147.56", "35.25, 165.75, 147.57", "24.95, 150.0, 186.75", 8.3e-04, 1.2e-03, 1.2e-03, 3.3e-02
"[2, 3, 4, 5]", "255.0, 26.08, 149.25", "35.59, 165.48, 145.97", "36.07, 165.1, 146.11", "24.39, 149.04, 186.18", 4.6e-03, 6.3e-03, 6.3e-03, 3.0e-02
"[2, 5, 7]", "0.0, 196.02, 130.85", "38.95, 171.19, 131.27", "38.8, 171.21, 131.36", "38.95, 171.19, 131.26", 1.6e-02, 1.6e-02, 1.6e-02, 1.6e-02
"[2, 3, 5, 7]", "0.0, 196.35, 130.63", "39.05, 171.6, 130.97", "38.88, 171.63, 131.06", "39.05, 171.6, 130.96", 1.4e-02, 1.4e-02, 1.4e-02, 1.4e-02
"[3, 5, 7]", "255.0, 41.26, 127.12", "41.18, 175.46, 126.49", "41.24, 175.3, 126.62", "21.44, 144.29, 173.47", 1.3e-02, 1.3e-02, 1.3e-02, 6.1e-02
