scan, NM, BFGS, CG, SLSQP, errNM, errBFGS, errCG, errSLSQP
"[1, 2]", "37.1, 143.0, 212.91","42.22, 145.26, 196.41","42.22, 145.26, 196.41","42.22, 145.26, 196.41",Err : 1.1e-08,Err$^2$ : 2.1e-10,Err$^2$ : 3.6e-11,Err : 7.0e-07
"[1, 2, 3]", "54.08, 150.47, 158.19","54.08, 150.47, 158.19","54.08, 150.47, 158.19","38.45, 145.69, 194.92",Err : 2.5e-08,Err$^2$ : 1.6e-11,Err$^2$ : 1.5e-10,Err : 7.7e-03
"[1, 2, 3, 4]", "62.03, 153.25, 137.33","62.05, 153.24, 137.33","61.72, 153.18, 137.9","28.76, 148.23, 191.2",Err : 4.6e-03,Err : 4.6e-03,Err : 4.6e-03,Err : 2.1e-02
"[1, 2, 3, 4, 5]", "57.01, 151.87, 147.96","57.05, 151.86, 147.94","56.82, 151.85, 148.2","27.6, 147.56, 189.12",Err : 5.6e-03,Err : 5.6e-03,Err : 5.6e-03,Err : 2.6e-02
"[1, 3]", "34.9, 146.07, 193.28","34.42, 145.96, 194.17","34.42, 145.96, 194.17","34.42, 145.96, 194.17",Err : 6.9e-09,Err$^2$ : 1.8e-10,Err$^2$ : 1.2e-11,Err : 1.1e-07
"[1, 5]", "40.69, 150.43, 162.67","21.24, 149.01, 178.12","20.92, 149.05, 177.72","21.24, 149.01, 178.12",Err : 3.4e-08,Err$^2$ : 2.5e-11,Err$^2$ : 1.1e-03,Err : 9.3e-07
"[1, 3, 5]", "60.03, 151.84, 147.3","60.03, 151.84, 147.3","60.03, 151.84, 147.3","28.81, 145.89, 188.95",Err : 2.6e-08,Err$^2$ : 1.2e-11,Err$^2$ : 3.2e-11,Err : 2.3e-02
"[1, 3, 7]", "72.01, 154.59, 125.38","72.01, 154.59, 125.38","72.01, 154.59, 125.38","22.17, 156.59, 153.63",Err : 2.6e-08,Err$^2$ : 2.9e-11,Err$^2$ : 5.9e-11,Err : 4.0e-02
"[1, 7, 11]", "40.9, 153.9, 139.59","40.9, 153.9, 139.59","40.9, 153.9, 139.59","15.25, 152.51, 151.31",Err : 1.8e-08,Err$^2$ : 2.7e-11,Err$^2$ : 4.0e-07,Err : 5.0e-03
"[1, 9, 11]", "1.5, 158.65, 127.61","2.86, 158.2, 128.4","11.18, 158.42, 126.49","26.43, 158.06, 124.73",Err : 6.2e-03,Err$^2$ : 6.6e-03,Err$^1$ : 6.5e-03,Err : 7.1e-03
"[3, 9, 11]", "68.96, 159.98, 117.97","68.96, 159.98, 117.97","68.96, 159.98, 117.97","42.37, 166.5, 118.55",Err : 6.9e-08,Err$^2$ : 2.0e-11,Err$^2$ : 3.1e-11,Err : 2.6e-02
"[3, 5, 7]", "1.5, 200.58, 126.84","41.09, 175.61, 126.97","41.0, 175.63, 127.02","21.96, 145.22, 175.57",Err : 1.4e-02,Err : 1.4e-02,Err : 1.4e-02,Err : 6.1e-02
"[3, 7, 9]", "109.81, 130.82, 125.41","109.81, 130.82, 125.41","105.93, 133.66, 124.79","53.33, 172.29, 116.58",Err : 6.5e-09,Err$^2$ : 5.1e-11,Err$^1$ : 8.4e-04,Err : 1.2e-02
