scan, NM, BFGS, CG, SLSQP, errNM, errBFGS, errCG, errSLSQP
"[2, 3]", "253.5, 7.25", "250.64, 7.62", "31.85, 146.9", "25.49, 150.89", 1.4e-02, 1.6e-02, 1.9e-02, 1.9e-02
"[2, 3, 4]", "253.5, 3.7", "219.06, 27.85", "32.94, 142.01", "23.64, 147.84", 3.6e-02, 4.0e-02, 4.3e-02, 4.4e-02
"[2, 3, 5]", "253.3, 1.5", "223.15, 18.18", "27.06, 143.79", "22.75, 146.5", 6.6e-02, 6.7e-02, 6.9e-02, 6.9e-02
"[2, 3, 4, 5]", "250.96, 1.5", "218.18, 24.41", "27.6, 141.48", "21.9, 145.05", 6.0e-02, 6.3e-02, 6.5e-02, 6.5e-02
"[2, 5, 7]", "229.3, 1.5", "220.88, 11.53", "24.3, 130.33", "15.96, 135.58", 2.0e-01, 2.0e-01, 2.0e-01, 2.0e-01
"[1, 7, 11]", "1.5, 139.5", "6.14, 132.04", "1.37, 139.29", "1.5, 139.48", 1.1e-01, 1.2e-01, 1.9e-01, 1.1e-01
"[1, 9, 11]", "1.5, 134.01", "2.14, 140.56", "1.5, 134.0", "31.17, 131.88", 2.6e-01, 2.7e-01, 2.6e-01, 2.7e-01
"[1, 2, 7, 11]", "6.3, 143.36", "6.13, 143.4", "6.75, 143.27", "28.41, 138.98", 1.2e-01, 1.2e-01, 1.2e-01, 1.3e-01
"[1, 3, 7, 11]", "1.5, 142.8", "1.5, 142.8", "1.44, 142.73", "27.94, 137.75", 1.1e-01, 1.1e-01, 1.3e-01, 1.2e-01
"[3, 5, 7]", "223.42, 1.5", "13.91, 132.23", "14.03, 132.18", "13.92, 132.24", 1.9e-01, 1.9e-01, 1.9e-01, 1.9e-01
"[1, 3, 5, 7]", "1.5, 144.36", "3.0, 148.52", "1.33, 144.12", "23.41, 137.16", 1.2e-01, 1.3e-01, 2.7e-01, 1.4e-01
"[2, 3, 5, 7]", "238.19, 1.5", "216.14, 19.13", "23.89, 136.02", "18.39, 139.46", 1.7e-01, 1.7e-01, 1.7e-01, 1.7e-01
"[1, 2, 5, 7]", "1.5, 146.21", "1.5, 146.21", "1.5, 146.2", "24.17, 138.77", 1.3e-01, 1.3e-01, 1.3e-01, 1.4e-01
