scan, NM, BFGS, CG, SLSQP, errNM, errBFGS, errCG, errSLSQP
"[2, 3]", "42.91, 158.63, 153.07", "35.77, 163.3, 152.67", "35.77, 163.3, 152.67", "26.59, 152.64, 191.17", 3.4e-09, 3.1e-10, 7.4e-11, 1.1e-02
"[2, 3, 4]", "1.5, 192.86, 132.97", "39.45, 168.0, 135.16", "39.24, 168.0, 135.44", "25.3, 150.49, 188.98", 4.8e-03, 4.9e-03, 4.9e-03, 2.4e-02
"[2, 3, 5]", "1.5, 187.2, 147.16", "35.35, 165.69, 147.56", "35.25, 165.75, 147.57", "24.95, 150.0, 186.75", 8.4e-04, 1.2e-03, 1.2e-03, 3.3e-02
"[2, 3, 4, 5]", "253.5, 27.05, 149.2", "35.59, 165.48, 145.97", "36.07, 165.1, 146.11", "24.39, 149.04, 186.18", 4.6e-03, 6.3e-03, 6.3e-03, 3.0e-02
"[2, 5, 7]", "1.5, 195.06, 130.87", "38.95, 171.19, 131.27", "38.8, 171.21, 131.36", "38.95, 171.19, 131.26", 1.6e-02, 1.6e-02, 1.6e-02, 1.6e-02
"[1, 7, 11]", "28.18, 154.12, 143.44", "28.18, 154.12, 143.44", "28.18, 154.12, 143.44", "15.19, 153.63, 148.95", 7.6e-09, 3.7e-11, 1.4e-10, 1.7e-03
"[1, 9, 11]", "253.5, 150.97, 101.71", "28.31, 159.09, 120.73", "28.33, 159.08, 120.75", "28.31, 159.08, 120.72", 8.5e-03, 8.7e-03, 8.7e-03, 8.7e-03
"[1, 2, 7, 11]", "60.92, 155.38, 129.66", "60.91, 155.38, 129.66", "60.86, 155.38, 129.69", "24.8, 156.45, 147.25", 3.9e-03, 3.9e-03, 3.9e-03, 3.2e-02
"[1, 3, 7, 11]", "68.24, 155.65, 126.65", "68.24, 155.65, 126.65", "68.12, 155.64, 126.72", "21.61, 154.79, 152.72", 4.7e-03, 4.7e-03, 4.7e-03, 3.4e-02
"[3, 5, 7]", "253.5, 42.2, 127.12", "41.18, 175.46, 126.49", "41.24, 175.3, 126.62", "21.44, 144.29, 173.47", 1.3e-02, 1.3e-02, 1.3e-02, 6.1e-02
"[1, 3, 5, 7]", "74.78, 154.39, 126.57", "74.78, 154.39, 126.58", "74.46, 154.4, 126.77", "21.73, 156.58, 156.48", 1.1e-02, 1.1e-02, 1.1e-02, 3.8e-02
"[2, 3, 5, 7]", "1.5, 195.4, 130.65", "39.05, 171.6, 130.97", "38.88, 171.63, 131.06", "39.05, 171.6, 130.96", 1.4e-02, 1.4e-02, 1.4e-02, 1.4e-02
"[1, 2, 5, 7]", "65.77, 154.09, 131.56", "65.79, 154.09, 131.55", "65.54, 154.1, 131.69", "24.09, 158.07, 152.67", 1.3e-02, 1.3e-02, 1.3e-02, 3.8e-02
